,Tuned Gradient Boosting,Tuned Logistic Regression,Tuned Random Forest
Accuracy,0.8006628787878788,0.796875,0.787405303030303
Precision,0.6434599156118144,0.6245136186770428,0.6158798283261803
Recall,0.547576301615799,0.5763016157989228,0.5152603231597845
F1-Score,0.5916585838991271,0.5994397759103641,0.5610948191593352
