,Logistic Regression,Decision Tree,Random Forest,XG Boost,Gradient Boosting
Accuracy,0.7926136363636364,0.7339015151515151,0.7864583333333334,0.7760416666666666,0.8006628787878788
Precision,0.6192384769539078,0.49572649572649574,0.6152173913043478,0.5830039525691699,0.6471861471861472
Recall,0.5547576301615799,0.5206463195691203,0.5080789946140036,0.5296229802513465,0.5368043087971275
F1-Score,0.5852272727272727,0.5078809106830122,0.5565388397246804,0.555032925682032,0.5868498527968596
